year,month,MEI_v2,MEI_3m_rolling
2017,10,-0.59,-0.6799999999999997
2017,11,-0.62,-0.6466666666666664
2017,12,-0.74,-0.6499999999999997
2018,1,-0.79,-0.7166666666666663
2018,2,-0.71,-0.7466666666666665
2018,3,-0.8,-0.7666666666666663
2018,4,-1.32,-0.943333333333333
2018,5,-0.94,-1.0199999999999998
2018,6,-0.51,-0.9233333333333329
2018,7,-0.05,-0.4999999999999997
2018,8,0.47,-0.02999999999999971
2018,9,0.62,0.34666666666666696
2018,10,0.52,0.536666666666667
2018,11,0.33,0.49000000000000027
2018,12,0.18,0.34333333333333355
2019,1,0.09,0.20000000000000026
2019,2,0.5,0.2566666666666669
2019,3,0.76,0.45000000000000023
2019,4,0.3,0.5200000000000002
2019,5,0.23,0.4300000000000002
2019,6,0.35,0.29333333333333356
2019,7,0.3,0.2933333333333336
2019,8,0.32,0.32333333333333353
2019,9,0.16,0.26000000000000023
2019,10,0.31,0.2633333333333336
2019,11,0.47,0.3133333333333335
2019,12,0.36,0.38000000000000017
2020,1,0.24,0.3566666666666669
2020,2,0.26,0.2866666666666669
2020,3,0.13,0.21000000000000021
2020,4,-0.15,0.08000000000000022
2020,5,-0.23,-0.0833333333333331
2020,6,-0.68,-0.3533333333333331
2020,7,-0.94,-0.6166666666666664
2020,8,-0.96,-0.8599999999999998
2020,9,-1.15,-1.0166666666666664
2020,10,-1.17,-1.093333333333333
2020,11,-1.13,-1.1499999999999997
2020,12,-1.14,-1.1466666666666663
2021,1,-1.2,-1.1566666666666663
2021,2,-0.96,-1.0999999999999996
2021,3,-0.79,-0.9833333333333331
2021,4,-0.95,-0.8999999999999998
2021,5,-1.07,-0.9366666666666664
2021,6,-1.05,-1.0233333333333332
2021,7,-1.44,-1.1866666666666663
2021,8,-1.29,-1.2599999999999998
2021,9,-1.37,-1.3666666666666665
2021,10,-1.46,-1.373333333333333
2021,11,-1.39,-1.4066666666666663
2021,12,-1.2,-1.3499999999999996
2022,1,-1.01,-1.1999999999999995
2022,2,-0.98,-1.063333333333333
2022,3,-1.31,-1.0999999999999996
2022,4,-1.6,-1.2966666666666666
2022,5,-1.63,-1.513333333333333
2022,6,-1.9,-1.7099999999999997
2022,7,-2.17,-1.8999999999999995
2022,8,-1.75,-1.9399999999999995
2022,9,-1.73,-1.8833333333333329
2022,10,-1.72,-1.7333333333333332
2022,11,-1.53,-1.6599999999999995
2022,12,-1.27,-1.5066666666666666
2023,1,-1.11,-1.303333333333333
2023,2,-0.91,-1.0966666666666665
2023,3,-0.76,-0.9266666666666664
2023,4,-0.36,-0.6766666666666664
2023,5,-0.06,-0.39333333333333304
2023,6,0.43,0.0033333333333336324
2023,7,0.51,0.2933333333333336
2023,8,0.51,0.4833333333333336
2023,9,0.69,0.5700000000000003
2023,10,0.48,0.5600000000000003
2023,11,0.91,0.6933333333333337
2023,12,1.13,0.8400000000000003
2024,1,0.7,0.9133333333333337
2024,2,0.68,0.8366666666666669
2024,3,0.78,0.7200000000000003
2024,4,0.34,0.6000000000000003
2024,5,0.12,0.4133333333333337
2024,6,-0.24,0.07333333333333364
2024,7,-0.72,-0.2799999999999997
2024,8,-0.73,-0.563333333333333
2024,9,-0.65,-0.6999999999999997
2024,10,-0.51,-0.6299999999999998
2024,11,-0.68,-0.6133333333333331
2024,12,-0.91,-0.6999999999999997
2025,1,-1.0,-0.8633333333333332
2025,2,-0.83,-0.9133333333333331
2025,3,-0.68,-0.8366666666666663
2025,4,-0.38,-0.6299999999999997
2025,5,-0.36,-0.473333333333333
2025,6,-1.17,-0.6366666666666663
2025,7,-1.22,-0.9166666666666664
2025,8,-0.87,-1.0866666666666662
2025,9,-1.12,-1.0699999999999996
2025,10,-1.19,-1.0599999999999996
2025,11,-1.06,-1.1233333333333329
2025,12,-0.77,-1.0066666666666662
2026,1,-0.76,-0.863333333333333
2026,2,-0.95,-0.8266666666666662
